,0,1,2,3,4
12,/Apple-iPhone-Pro-Max-64-GB/dp/B07XRR7ND7/ref=sr_1_13?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-13,"
Apple iPhone 11 Pro Max (64 GB) - Nachtgrün
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
13,/Apple-iPhone-11-Pro-256-GB/dp/B07XRRN7JZ/ref=sr_1_14?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-14,"
Apple iPhone 11 Pro (256 GB) - Silber
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
14,/Apple-MQ6G2ZD-A-iPhone-8-64GB/dp/B075LXNGFH/ref=sr_1_15?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-15,"
Apple iPhone 8 (64 GB) - Space Grau
",483,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
15,/Apple-iPhone-11-256-GB-Schwarz/dp/B07XRRMNKL/ref=sr_1_16?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-16,"
Apple iPhone 11 (256 GB) - Schwarz
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
16,/Apple-iPhone-Pro-Max-256-GB/dp/B07XRQ222Z/ref=sr_1_17?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-17,"
Apple iPhone 11 Pro Max (256 GB) - Gold
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
17,/Apple-iPhone-Pro-64-GB-Nachtgr%C3%BCn/dp/B07XRRNS63/ref=sr_1_18?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-18,"
Apple iPhone 11 Pro (64 GB) - Nachtgrün
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
18,/Apple-iPhone-11-Pro-64-GB/dp/B07XRR92LP/ref=sr_1_19?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-19,"
Apple iPhone 11 Pro (64 GB) - Gold
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
19,/Apple-iPhone-11-64-GB-Gr%C3%BCn/dp/B07XRR786P/ref=sr_1_20?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-20,"
Apple iPhone 11 (64 GB) - Grün
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
20,/Apple-iPhone-XR-64-GB-Schwarz/dp/B07HB4TJH1/ref=sr_1_21?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-21,"
Apple iPhone XR (64GB) - Schwarz
",566,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
21,/Apple-iPhone-7-32GB-Schwarz/dp/B01LSUYWO0/ref=sr_1_22?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-22,"
Apple iPhone 7 (32 GB) - Schwarz
",508,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
22,/Apple-iPhone-11-Pro-64-GB/dp/B07XRFD31B/ref=sr_1_23?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-23,"
Apple iPhone 11 Pro (64 GB) - Silber
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
23,/Apple-iPhone-11-Pro-512-GB/dp/B07XRRB8JY/ref=sr_1_24?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-24,"
Apple iPhone 11 Pro (512 GB) - Space Grau
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
24,/Apple-iPhone-Pro-Max-64-GB/dp/B07XL978J4/ref=sr_1_25?fst=as%3Aoff&qid=1576866556&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-25,"
Apple iPhone 11 Pro Max (64 GB) - Space Grau
",128,https://www.amazon.de/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&page=2&fst=as%3Aoff&qid=1576866542&rnid=669059031&ref=sr_pg_1,68
25,/Apple-iPhone-11-64-GB-Violett/dp/B07XRQM32Q/ref=sr_1_26?fst=as%3Aoff&qid=1576866556&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-26,"
Apple iPhone 11 (64 GB) - Violett
",342,https://www.amazon.de/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&page=2&fst=as%3Aoff&qid=1576866542&rnid=669059031&ref=sr_pg_1,68
26,/Apple-iPhone-11-128-GB-Gr%C3%BCn/dp/B07XRQWMRY/ref=sr_1_27?fst=as%3Aoff&qid=1576866556&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-27,"
Apple iPhone 11 (128 GB) - Grün
",342,https://www.amazon.de/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&page=2&fst=as%3Aoff&qid=1576866542&rnid=669059031&ref=sr_pg_1,68
27,/Apple-iPhone-XR-64-GB-Wei%C3%9F/dp/B07HBCFFRG/ref=sr_1_28?fst=as%3Aoff&qid=1576866556&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-28,"
Apple iPhone XR (64GB) - Weiß
",566,https://www.amazon.de/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&page=2&fst=as%3Aoff&qid=1576866542&rnid=669059031&ref=sr_pg_1,68
28,/Apple-iPhone-128-GB-Space-Grau/dp/B07XRS5ZYP/ref=sr_1_29?fst=as%3Aoff&qid=1576866556&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-29,"
Apple iPhone 8 (128 GB) - Space Grau
",483,https://www.amazon.de/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&page=2&fst=as%3Aoff&qid=1576866542&rnid=669059031&ref=sr_pg_1,68
